t,x1,y1,x2,y2,x3,y3
0.00,0.04964509191592773873,0.73649809293355172901,0.61391984878216288024,-0.41253388213253788797,-0.66396375516168149034,-0.32807201464843865901
0.05,0.08635905050719736020,0.73681175482859961878,0.59247132099527022309,-0.43718922521827707772,-0.67670214645328008451,-0.29369563843417983984
0.10,0.12147729655627292900,0.72355401576649314155,0.56323494680484298414,-0.46903960544329537097,-0.68720547499823125825,-0.25866047067232317280
0.15,0.16119541569310380513,0.71728059197873150765,0.54397021747493146115,-0.49546822097402487550,-0.69846927685554016652,-0.21734994953551994845
0.20,0.19419833769745925567,0.70363049171779423752,0.51564673119770898513,-0.51874537234089879156,-0.70931374854846684919,-0.18227689987309292352
0.25,0.23120803325946676088,0.69029226902484019934,0.48619912991857111573,-0.54455947455333564289,-0.71462963806971502301,-0.14697584983126951719
0.30,0.26294529618841899765,0.67290018787410721401,0.45314866212438653648,-0.56277673653382387364,-0.71642792374839703307,-0.10937861749960216262
0.35,0.29181717375049787133,0.65078644488316494954,0.41680178806453943574,-0.58197966411672896747,-0.71500119774852710641,-0.06829987661274490585
0.40,0.32489277336192645684,0.63264295438252471371,0.38831760722432268063,-0.59995257190300355088,-0.71381371480778788019,-0.03309899984833294256
0.45,0.35427543053855009569,0.60955925662248200414,0.34502229397481387618,-0.61180153759902722310,-0.70360701308490547490,0.00698860049819076748
0.50,0.38643743491024706849,0.58355263623984110488,0.31158229439884688183,-0.62804084665628312489,-0.69387788739204014909,0.04672139278578994748
0.55,0.40695446993416484194,0.54847021474113344386,0.27007595384413696227,-0.63271140206276976770,-0.68714204192856165321,0.08756848871052748395
0.60,0.43593267219416309555,0.51711979105491945319,0.23623138929717357737,-0.64220856402347248348,-0.67006549406871873664,0.12297722482334913496
0.65,0.46307853241638380348,0.48683765167569031940,0.19201352896396228775,-0.64116778507009164478,-0.65425608942598711959,0.16140887088172661823
0.70,0.49175326178796258114,0.45089227380624835595,0.14706585367220478822,-0.63800602742159129299,-0.63258274262596814186,0.19061739363067006781
0.75,0.50013915650659357404,0.40820033796486171473,0.10441601191024087181,-0.64138109445686553034,-0.60420029107280681657,0.23307895368577913331
